214328887 34428380
34428380 214328887
17116707 28465635
28465635 17116707
380580781 18996905
18996905 380580781
221036078 153460275
153460275 221036078
107830991 17868918
17868918 107830991
151338729 222261763
222261763 151338729
19705747 34428380
34428380 19705747
222261763 88323281
88323281 222261763
19933035 149538028
149538028 19933035
158419434 17434613
17434613 158419434
149538028 153226312
153226312 149538028
364971269 153226312
153226312 364971269
100581193 279787626
279787626 100581193
113058991 69592091
69592091 113058991
151338729 187773078
187773078 151338729
406628822 262802533
262802533 406628822
460282402 88323281
88323281 460282402
280935165 437804658
437804658 280935165
222261763 27633075
27633075 222261763
285312927 151338729
151338729 285312927
279787626 131613362
131613362 279787626
158419434 17675120
17675120 158419434
394263193 100581193
100581193 394263193
254839786 88323281
88323281 254839786
204317520 21548772
21548772 204317520
67864340 172883064
172883064 67864340
270449528 297801196
297801196 270449528
153226312 187773078
187773078 153226312
67864340 8088112
8088112 67864340
153226312 17116707
17116707 153226312
394263193 14925700
14925700 394263193
124528830 307458983
307458983 124528830
204317520 160237722
160237722 204317520
220368467 54228724
54228724 220368467
206923844 103598216
103598216 206923844
153226312 380580781
380580781 153226312
207594668 21146135
21146135 207594668
451250774 314316607
314316607 451250774
6581292 314316607
314316607 6581292
34428380 31331740
31331740 34428380
196327549 225444667
225444667 196327549
274153775 35415466
35415466 274153775
222261763 31331740
31331740 222261763
279787626 72818790
72818790 279787626
6581292 151338729
151338729 6581292
324201646 40981798
40981798 324201646
153226312 430268163
430268163 153226312
88097807 153226312
153226312 88097807
276308596 69592091
69592091 276308596
100581193 358775055
358775055 100581193
151338729 15023872
15023872 151338729
16870853 70492333
70492333 16870853
100581193 280935165
280935165 100581193
151338729 107830991
107830991 151338729
279787626 206923844
206923844 279787626
314316607 430313102
430313102 314316607
299715516 35359596
35359596 299715516
314316607 6581292
6581292 314316607
276577539 248883350
248883350 276577539
151338729 67864340
67864340 151338729
158419434 157829215
157829215 158419434
107511013 22462180
22462180 107511013
258140947 200559228
200559228 258140947
258140947 19493072
19493072 258140947
123371682 394263193
394263193 123371682
461410856 31414569
31414569 461410856
67864340 37699718
37699718 67864340
67864340 124528830
124528830 67864340
117901353 117674417
117674417 117901353
17116707 231238695
231238695 17116707
56860418 204317520
204317520 56860418
43003845 314316607
314316607 43003845
413275344 259842341
